v,tiempo,trt,pl,br,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,x15,x16,x17,x18,x19,x20,x21,cat0,cat1,cat2,cat3,cat4,cat5,n
A,4,3,3,1,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0
A,4,3,3,2,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0
B,4,3,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,13,0,0,0,0,0,13
B,4,3,1,2,1,0,0,0,0,0,0,0,0,,,,,,,,,,,,,8,1,0,0,0,0,9
B,4,3,2,1,1,0,0,0,0,0,0,0,0,,,,,,,,,,,,,8,1,0,0,0,0,9
B,4,3,2,2,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,10,0,0,0,0,0,10
B,4,3,3,1,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,11,0,0,0,0,0,11
B,4,3,3,2,0,0,0,0,0,,,,,,,,,,,,,,,,,5,0,0,0,0,0,5
A,4,4,1,1,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,11,0,0,0,0,0,11
A,4,4,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,17,0,0,0,0,0,17
A,4,4,2,1,1,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,9,1,0,0,0,0,10
A,4,4,2,2,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,8,0,0,0,0,0,8
A,4,4,3,1,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,11,0,0,0,0,0,11
A,4,4,3,2,1,1,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,11,2,0,0,0,0,13
B,4,4,1,1,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,12,0,0,0,0,0,12
B,4,4,1,2,0,0,0,0,0,0,0,,,,,,,,,,,,,,,7,0,0,0,0,0,7
B,4,4,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,11,2,0,0,0,0,13
B,4,4,2,2,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,11,0,0,0,0,0,11
B,4,4,3,1,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,8,0,0,0,0,0,8
B,4,4,3,2,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,11,0,0,0,0,0,11
A,4,5,1,1,1,1,1,3,2,3,1,1,0,0,0,0,0,0,0,,,,,,,7,5,1,2,0,0,15
A,4,5,1,2,1,1,0,0,0,0,0,0,0,,,,,,,,,,,,,7,2,0,0,0,0,9
A,4,5,2,1,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,9,0,0,0,0,0,9
A,4,5,2,2,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,8,0,0,0,0,0,8
A,4,5,3,1,1,0,0,0,0,0,0,0,,,,,,,,,,,,,,7,1,0,0,0,0,8
A,4,5,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,18,0,0,0,0,0,18
B,4,5,1,1,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,12,0,0,0,0,0,12
B,4,5,1,2,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,8,0,0,0,0,0,8
B,4,5,2,1,1,1,0,0,0,0,0,0,,,,,,,,,,,,,,6,2,0,0,0,0,8
B,4,5,2,2,0,0,0,0,0,0,0,,,,,,,,,,,,,,,7,0,0,0,0,0,7
B,4,5,3,1,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,8,0,0,0,0,0,8
B,4,5,3,2,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,5,0,0,0,0,0,5
